"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f04_s02";"F04";4;100;78;0;80;0;95;11;0;10;0;1;0;4;0;156
"Site_f04_s03";"F04";4;100;85;0;0;0;78;0;31;25;42;2;0;1;0;139
"Site_f04_s04";"F04";4;100;79;33;0;0;0;0;0;0;22;2;0;13;2;167
"Site_f04_s05";"F04";4;100;89;0;0;105;0;8;15;35;0;0;0;1;0;393
"Site_f04_s06";"F04";4;100;75;0;0;0;0;15;21;31;47;0;0;4;0;98
"Site_f04_s07";"F04";4;100;89;34;0;282;0;11;7;0;16;5;5;2;0;146
"Site_f04_s08";"F04";4;100;81;31;0;0;45;0;19;14;20;1;0;4;6;237
"Site_f04_s09";"F04";4;100;81;0;0;43;0;0;14;19;40;1;0;0;4;235
"Site_f04_s10";"F04";4;100;74;0;0;58;0;14;0;21;27;4;2;5;0;175
"Site_f05_s01";"F05";5;100;90;0;49;0;53;29;16;59;41;2;7;6;0;195
"Site_f05_s02";"F05";5;100;73;0;26;0;0;27;11;23;49;3;0;0;3;104
"Site_f05_s03";"F05";5;100;85;27;0;131;64;0;22;31;18;2;7;8;0;86
"Site_f05_s04";"F05";5;100;73;0;0;0;34;7;27;20;17;0;8;5;6;173
"Site_f05_s05";"F05";5;100;80;39;0;64;0;8;47;0;0;4;1;0;0;154
"Site_f05_s06";"F05";5;100;98;55;43;144;0;3;0;47;25;0;4;2;0;255
"Site_f05_s07";"F05";5;100;78;17;10;0;0;10;0;32;26;0;5;2;0;229
"Site_f05_s08";"F05";5;100;97;31;0;0;0;80;0;42;19;0;0;0;3;839
"Site_f05_s09";"F05";5;100;75;0;0;0;167;0;22;12;16;3;10;0;4;48
"Site_f05_s10";"F05";5;100;89;56;0;121;0;0;13;55;56;4;1;10;0;270
"Site_f06_s01";"F06";6;100;81;0;14;0;40;0;6;26;7;7;0;0;0;292
"Site_f06_s02";"F06";6;100;88;94;61;0;0;13;37;26;11;7;5;7;3;236
"Site_f06_s03";"F06";6;100;83;0;41;0;0;14;16;9;8;0;2;0;2;325
"Site_f06_s04";"F06";6;100;92;0;98;0;19;12;54;24;7;9;12;0;1;346
"Site_f06_s05";"F06";6;100;74;0;0;0;0;9;19;5;20;0;1;0;0;224
"Site_f06_s06";"F06";6;100;87;0;63;0;139;17;0;12;21;0;3;13;9;399
"Site_f06_s07";"F06";6;100;71;0;0;0;75;7;16;29;0;0;1;10;0;125
"Site_f06_s08";"F06";6;100;79;44;52;0;53;51;21;4;0;4;0;12;5;128
"Site_f06_s09";"F06";6;100;87;72;0;0;0;20;34;0;14;4;0;4;3;293
"Site_f06_s10";"F06";6;100;80;0;0;0;47;60;20;12;66;0;0;4;1;200
"Site_f07_s01";"F07";7;100;80;0;25;0;0;0;46;10;14;9;15;0;0;175
"Site_f07_s02";"F07";7;100;91;0;132;0;0;91;20;9;26;3;6;0;0;233
"Site_f07_s03";"F07";7;100;71;0;32;0;0;21;19;11;14;0;11;0;1;164
"Site_f07_s04";"F07";7;100;80;0;32;0;65;14;21;60;0;5;0;0;1;154
"Site_f07_s05";"F07";7;100;73;0;45;0;32;22;16;13;18;0;0;0;3;228
"Site_f07_s06";"F07";7;100;83;0;0;41;23;28;35;11;14;9;9;0;0;217
"Site_f07_s07";"F07";7;100;84;59;58;0;0;44;27;13;4;4;1;0;1;136
"Site_f07_s08";"F07";7;100;76;0;30;0;92;16;13;8;0;10;0;0;2;97
"Site_f07_s09";"F07";7;100;67;0;0;0;28;0;16;7;7;0;0;1;0;165
"Site_f07_s10";"F07";7;100;84;76;38;0;0;0;0;10;8;0;27;0;0;303
"Site_f08_s01";"F08";8;100;88;0;115;0;52;13;15;0;3;7;4;0;2;144
"Site_f08_s02";"F08";8;100;91;79;57;28;0;22;25;0;49;0;5;0;1;625
"Site_f08_s03";"F08";8;100;89;98;61;0;0;0;4;0;14;0;0;4;0;286
"Site_f08_s04";"F08";8;100;83;0;136;0;37;30;48;0;10;8;4;3;1;73
"Site_f08_s05";"F08";8;100;83;0;93;0;70;0;11;0;12;6;8;0;1;162
"Site_f08_s06";"F08";8;100;93;90;86;56;0;49;29;0;11;20;3;5;0;138
"Site_f08_s07";"F08";8;100;85;0;129;0;24;46;17;0;5;5;2;0;3;135
"Site_f08_s08";"F08";8;100;82;0;68;0;22;25;12;14;4;7;0;0;0;115
"Site_f08_s09";"F08";8;100;86;71;0;0;32;57;31;0;7;20;2;4;1;304
"Site_f08_s10";"F08";8;100;90;263;0;0;0;123;26;0;7;8;0;0;3;169
"Site_f09_s01";"F09";9;100;84;0;42;0;13;51;44;2;8;20;2;1;1;149
"Site_f09_s02";"F09";9;100;70;0;95;0;0;17;15;3;0;0;1;0;2;65
"Site_f09_s03";"F09";9;100;83;0;134;0;0;33;18;0;6;13;3;3;1;139
"Site_f09_s04";"F09";9;100;70;0;18;0;0;69;21;0;3;15;2;0;0;51
"Site_f09_s05";"F09";9;100;85;0;0;62;86;23;15;0;12;0;14;0;2;98
"Site_f09_s06";"F09";9;100;89;0;67;0;0;63;22;11;16;5;1;0;0;462
"Site_f09_s07";"F09";9;100;92;62;140;26;15;0;32;0;7;0;0;0;1;633
"Site_f09_s08";"F09";9;100;68;0;0;0;21;69;11;0;2;9;1;0;1;167
"Site_f09_s09";"F09";9;100;72;0;47;0;8;32;0;11;2;0;10;0;0;122
"Site_f09_s10";"F09";9;100;94;206;167;0;6;30;24;0;11;20;2;0;2;235
"Site_f10_s01";"F10";10;100;90;65;20;0;0;137;46;0;14;0;3;0;1;458
"Site_f10_s02";"F10";10;100;91;244;0;0;9;79;18;0;0;14;4;0;0;150
"Site_f10_s03";"F10";10;100;74;0;24;0;0;47;40;0;14;6;10;0;2;136
"Site_f10_s04";"F10";10;100;98;48;141;29;11;42;21;7;20;6;3;0;0;426
"Site_f10_s05";"F10";10;100;84;0;57;39;24;42;12;0;6;0;1;0;0;196
"Site_f10_s06";"F10";10;100;85;125;0;0;0;120;26;13;7;0;3;0;3;76
"Site_f10_s07";"F10";10;100;77;0;0;17;13;58;26;0;5;15;1;0;1;142
"Site_f10_s08";"F10";10;100;87;0;146;0;53;136;0;0;9;5;0;0;3;175
"Site_f10_s09";"F10";10;100;85;0;94;0;67;69;10;2;3;0;3;1;2;59
"Site_f10_s10";"F10";10;100;83;0;39;13;0;19;8;3;4;0;4;0;0;222
