"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f03_s02";"F03";3;100;83;0;59;0;0;5;0;125;14;0;4;15;3;172
"Site_f03_s03";"F03";3;100;85;0;20;69;0;20;26;0;39;0;5;8;13;240
"Site_f03_s04";"F03";3;100;88;34;0;0;0;33;35;17;23;1;0;5;2;225
"Site_f03_s05";"F03";3;100;91;0;92;0;0;17;38;36;22;0;2;1;11;616
"Site_f03_s06";"F03";3;100;93;0;22;292;0;26;17;108;0;0;2;6;0;196
"Site_f03_s07";"F03";3;100;78;0;0;0;0;14;11;49;14;1;0;4;0;193
"Site_f03_s08";"F03";3;100;94;20;0;53;33;16;26;36;14;3;0;12;8;425
"Site_f03_s09";"F03";3;100;75;0;0;129;0;5;0;28;0;5;0;4;0;59
"Site_f03_s10";"F03";3;100;58;0;0;0;0;21;0;32;0;3;0;2;0;79
"Site_f04_s01";"F04";4;100;93;0;44;181;0;9;39;63;62;2;0;4;4;222
"Site_f04_s02";"F04";4;100;81;22;0;115;31;12;0;0;0;0;4;1;2;101
"Site_f04_s03";"F04";4;100;85;0;0;0;133;3;23;31;32;0;2;7;2;314
"Site_f04_s04";"F04";4;100;74;0;0;49;94;6;0;0;24;0;0;6;7;135
"Site_f04_s05";"F04";4;100;82;0;0;49;0;15;25;59;57;1;3;4;0;85
"Site_f04_s06";"F04";4;100;93;0;0;0;285;0;0;6;32;1;0;3;5;197
"Site_f04_s07";"F04";4;100;89;0;51;66;0;10;26;0;14;3;9;7;0;200
"Site_f04_s08";"F04";4;100;74;42;0;0;0;8;27;5;15;3;0;9;1;189
"Site_f04_s09";"F04";4;100;86;60;0;0;152;0;23;26;0;0;0;7;11;277
"Site_f04_s10";"F04";4;100;92;13;0;0;0;6;14;37;26;4;2;5;0;574
"Site_f05_s01";"F05";5;100;85;0;104;34;0;19;0;3;21;0;2;4;11;241
"Site_f05_s02";"F05";5;100;68;0;0;0;0;23;20;5;35;0;3;0;2;135
"Site_f05_s03";"F05";5;100;89;0;0;81;0;16;18;29;21;0;4;0;5;552
"Site_f05_s04";"F05";5;100;63;0;0;0;0;6;0;16;0;6;0;5;3;99
"Site_f05_s05";"F05";5;100;69;0;0;37;0;7;12;2;11;0;5;10;5;116
"Site_f05_s06";"F05";5;100;87;0;0;42;137;22;61;42;0;0;0;6;0;130
"Site_f05_s07";"F05";5;100;80;0;0;0;0;25;12;29;38;0;13;0;1;128
"Site_f05_s08";"F05";5;100;96;123;125;127;0;25;29;21;47;7;0;4;0;124
"Site_f05_s09";"F05";5;100;85;0;0;49;35;0;12;23;0;0;2;6;0;270
"Site_f05_s10";"F05";5;100;91;41;0;127;32;37;84;5;0;6;0;2;3;179
"Site_f06_s01";"F06";6;100;87;0;58;98;0;70;11;7;0;6;7;2;0;110
"Site_f06_s02";"F06";6;100;91;72;0;0;0;15;13;22;27;0;2;0;1;570
"Site_f06_s03";"F06";6;100;80;0;0;30;57;26;30;17;0;0;2;2;1;136
"Site_f06_s04";"F06";6;100;66;121;19;0;0;37;15;13;0;0;0;1;5;36
"Site_f06_s05";"F06";6;100;79;59;0;92;0;0;5;16;13;4;0;1;0;207
"Site_f06_s06";"F06";6;100;73;0;0;0;0;44;0;15;4;4;0;6;1;167
"Site_f06_s07";"F06";6;100;83;0;31;26;0;46;37;10;0;5;0;7;6;131
"Site_f06_s08";"F06";6;100;87;0;175;0;49;0;17;12;13;0;9;2;2;147
"Site_f06_s09";"F06";6;100;83;0;0;0;0;41;0;32;33;0;3;2;2;318
"Site_f06_s10";"F06";6;100;83;143;0;20;0;16;9;13;16;0;3;8;0;120
"Site_f07_s01";"F07";7;100;90;66;99;29;147;24;52;0;11;7;5;0;4;139
"Site_f07_s02";"F07";7;100;90;159;0;69;0;0;13;0;30;11;3;0;0;120
"Site_f07_s03";"F07";7;100;91;161;90;0;0;25;4;38;18;0;11;0;0;293
"Site_f07_s04";"F07";7;100;88;146;0;0;0;11;18;11;20;0;1;6;0;179
"Site_f07_s05";"F07";7;100;80;0;0;0;0;13;11;22;6;1;0;0;0;307
"Site_f07_s06";"F07";7;100;76;0;42;0;0;0;14;11;23;1;0;5;3;127
"Site_f07_s07";"F07";7;100;70;0;0;35;0;13;0;21;0;0;0;0;4;107
"Site_f07_s08";"F07";7;100;74;0;0;0;92;15;12;5;0;6;4;5;0;292
"Site_f07_s09";"F07";7;100;81;0;84;0;0;29;9;0;12;0;1;2;0;137
"Site_f07_s10";"F07";7;100;80;0;72;0;39;38;11;0;14;0;3;0;1;81
"Site_f08_s01";"F08";8;100;83;26;61;0;0;0;10;0;3;7;2;4;0;259
"Site_f08_s02";"F08";8;100;72;0;21;0;0;43;30;6;5;10;0;0;1;90
"Site_f08_s03";"F08";8;100;82;172;0;0;55;23;7;2;14;5;4;2;0;76
"Site_f08_s04";"F08";8;100;83;0;0;0;29;16;67;11;16;11;2;2;3;163
"Site_f08_s05";"F08";8;100;78;0;0;0;43;26;37;5;16;9;3;1;4;170
"Site_f08_s06";"F08";8;100;81;0;24;0;33;49;51;0;15;0;5;0;0;143
"Site_f08_s07";"F08";8;100;91;0;68;0;20;99;0;15;10;2;7;3;2;203
"Site_f08_s08";"F08";8;100;63;94;0;0;0;0;24;7;15;1;0;6;0;64
"Site_f08_s09";"F08";8;100;86;46;0;0;0;0;40;16;9;0;0;10;0;230
"Site_f08_s10";"F08";8;100;77;0;70;0;24;30;30;13;8;0;1;0;6;44
"Site_f09_s01";"F09";9;100;79;0;0;16;8;44;0;5;1;0;1;0;0;191
"Site_f09_s02";"F09";9;100;87;57;173;0;0;50;6;1;9;0;3;3;0;48
"Site_f09_s03";"F09";9;100;93;0;34;17;19;0;51;0;5;19;6;0;3;328
"Site_f09_s04";"F09";9;100;90;138;104;30;17;54;0;0;5;12;0;0;2;238
"Site_f09_s05";"F09";9;100;93;95;23;0;0;0;11;6;12;0;0;0;6;303
"Site_f09_s06";"F09";9;100;81;0;0;0;48;66;36;4;5;24;0;0;0;268
"Site_f09_s07";"F09";9;100;79;0;55;0;23;52;0;0;11;12;1;0;0;153
"Site_f09_s08";"F09";9;100;80;78;0;5;0;21;66;0;6;8;1;0;0;171
"Site_f09_s09";"F09";9;100;79;0;88;0;0;40;6;5;11;1;3;0;1;165
"Site_f09_s10";"F09";9;100;81;38;53;0;0;35;22;13;5;8;1;0;0;174
"Site_f10_s01";"F10";10;100;76;62;0;14;0;66;0;1;2;0;2;0;0;85
"Site_f10_s02";"F10";10;100;86;0;0;0;32;42;47;7;0;2;0;0;3;207
"Site_f10_s03";"F10";10;100;71;0;17;0;13;91;19;0;0;17;1;0;0;56
"Site_f10_s04";"F10";10;100;61;0;0;0;13;0;33;0;15;34;3;0;1;65
"Site_f10_s05";"F10";10;100;87;86;20;0;4;46;12;0;12;13;7;0;0;187
"Site_f10_s06";"F10";10;100;87;122;0;0;35;98;21;0;9;8;0;2;0;84
"Site_f10_s07";"F10";10;100;80;0;54;0;56;21;0;3;9;0;2;0;2;155
"Site_f10_s08";"F10";10;100;93;85;32;0;33;0;33;0;23;0;4;0;4;644
"Site_f10_s09";"F10";10;100;55;0;0;0;0;0;8;2;5;8;0;0;1;120
"Site_f10_s10";"F10";10;100;80;37;61;0;15;47;0;9;1;0;5;0;0;111
