"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f04_s09";"F04";4;100;82;0;0;0;0;0;0;0;40;0;0;8;7;314
"Site_f04_s10";"F04";4;100;78;88;56;0;0;17;21;15;0;0;2;1;0;97
"Site_f05_s01";"F05";5;100;87;0;41;183;0;23;23;8;8;0;3;2;7;47
"Site_f05_s02";"F05";5;100;88;37;161;46;0;12;25;15;69;1;2;0;0;81
"Site_f05_s03";"F05";5;100;75;0;73;0;0;23;0;32;36;0;1;0;0;89
"Site_f05_s04";"F05";5;100;79;0;0;0;0;20;40;40;20;0;0;0;14;298
"Site_f05_s05";"F05";5;100;86;159;42;0;195;9;17;0;38;2;4;0;1;141
"Site_f05_s06";"F05";5;100;81;45;0;79;27;21;0;30;20;8;0;2;0;99
"Site_f05_s07";"F05";5;100;80;29;45;0;0;7;11;47;33;4;8;0;7;59
"Site_f05_s08";"F05";5;100;95;0;0;87;299;27;8;20;25;2;8;3;2;140
"Site_f05_s09";"F05";5;100;91;0;88;142;0;14;52;24;30;0;0;4;3;72
"Site_f05_s10";"F05";5;100;66;0;0;0;53;12;18;13;12;0;0;0;0;153
"Site_f06_s01";"F06";6;100;95;0;33;38;32;0;10;16;26;0;0;3;1;581
"Site_f06_s02";"F06";6;100;81;0;0;0;40;15;9;18;19;1;0;0;0;167
"Site_f06_s03";"F06";6;100;88;0;0;22;66;19;23;0;10;13;11;0;0;478
"Site_f06_s04";"F06";6;100;85;0;0;0;0;55;19;33;0;8;8;7;3;341
"Site_f06_s05";"F06";6;100;85;0;0;0;49;11;9;5;6;7;0;1;4;273
"Site_f06_s06";"F06";6;100;84;0;93;15;0;18;40;19;39;5;0;1;3;147
"Site_f06_s07";"F06";6;100;78;0;0;0;103;0;13;0;0;4;0;0;1;177
"Site_f06_s08";"F06";6;100;90;221;88;46;33;20;16;14;11;5;6;0;2;170
"Site_f06_s09";"F06";6;100;80;162;0;0;0;15;12;8;34;3;0;0;3;204
"Site_f06_s10";"F06";6;100;79;0;52;0;24;37;14;29;0;0;0;5;0;94
"Site_f07_s01";"F07";7;100;84;69;33;48;0;20;0;0;17;10;1;14;0;125
"Site_f07_s02";"F07";7;100;78;71;32;0;30;11;16;0;0;14;0;0;0;152
"Site_f07_s03";"F07";7;100;80;0;27;60;68;22;0;14;5;0;0;2;0;101
"Site_f07_s04";"F07";7;100;69;0;0;0;13;83;11;15;0;6;0;3;0;83
"Site_f07_s05";"F07";7;100;80;71;0;0;34;0;8;0;19;0;9;0;4;119
"Site_f07_s06";"F07";7;100;71;70;0;0;0;40;0;6;12;4;0;0;0;79
"Site_f07_s07";"F07";7;100;92;0;0;0;99;36;43;22;5;4;5;0;0;215
"Site_f07_s08";"F07";7;100;68;0;0;0;18;0;31;7;26;3;3;0;6;103
"Site_f07_s09";"F07";7;100;79;0;75;0;31;29;0;9;20;0;0;0;3;107
"Site_f07_s10";"F07";7;100;84;58;0;27;12;23;0;9;10;0;2;0;2;210
"Site_f08_s01";"F08";8;100;84;108;79;0;38;29;41;0;11;3;4;0;2;126
"Site_f08_s02";"F08";8;100;76;0;0;0;15;40;0;11;12;4;2;0;0;127
"Site_f08_s03";"F08";8;100;96;433;0;16;73;22;42;4;22;0;1;2;0;111
"Site_f08_s04";"F08";8;100;89;170;0;0;0;64;23;4;9;3;2;0;2;199
"Site_f08_s05";"F08";8;100;77;72;0;0;0;81;6;3;11;0;7;1;0;123
"Site_f08_s06";"F08";8;100;81;0;44;0;18;19;13;7;9;5;3;3;0;173
"Site_f08_s07";"F08";8;100;76;0;0;0;49;46;5;19;2;7;2;0;3;108
"Site_f08_s08";"F08";8;100;80;52;0;0;0;15;29;3;12;0;2;0;1;151
"Site_f08_s09";"F08";8;100;83;0;37;0;0;29;16;0;23;0;2;0;2;192
"Site_f08_s10";"F08";8;100;78;33;0;0;37;51;12;3;9;3;0;0;3;82
"Site_f09_s01";"F09";9;100;84;0;45;0;16;79;15;0;7;0;4;0;1;176
"Site_f09_s02";"F09";9;100;74;0;0;0;16;67;35;17;9;16;3;1;1;50
"Site_f09_s03";"F09";9;100;80;0;69;65;24;0;49;21;10;18;3;3;0;91
"Site_f09_s04";"F09";9;100;79;0;77;0;16;120;19;4;9;8;0;0;0;132
"Site_f09_s05";"F09";9;100;90;0;49;14;42;68;61;4;8;15;4;0;0;330
"Site_f09_s06";"F09";9;100;91;133;71;0;18;27;14;5;5;0;0;0;1;275
"Site_f09_s07";"F09";9;100;92;0;15;26;18;42;12;0;11;31;0;3;2;303
"Site_f09_s08";"F09";9;100;94;162;0;0;27;85;6;9;0;0;2;0;3;349
"Site_f09_s09";"F09";9;100;94;82;128;0;23;49;4;9;14;1;5;0;2;186
"Site_f09_s10";"F09";9;100;89;0;68;0;0;0;20;4;8;17;0;2;0;327
"Site_f10_s01";"F10";10;100;75;80;21;0;20;0;8;15;6;0;5;0;0;91
"Site_f10_s02";"F10";10;100;96;391;61;20;39;0;11;0;11;9;5;0;3;411
"Site_f10_s03";"F10";10;100;78;0;18;0;32;157;12;20;5;14;4;0;0;96
"Site_f10_s04";"F10";10;100;95;356;199;0;22;60;34;0;4;0;8;0;1;95
"Site_f10_s05";"F10";10;100;89;0;26;0;7;53;11;0;7;20;8;0;3;238
"Site_f10_s06";"F10";10;100;88;272;46;40;9;142;22;3;16;4;8;1;2;329
"Site_f10_s07";"F10";10;100;96;427;14;31;0;42;11;0;7;0;1;0;0;680
"Site_f10_s08";"F10";10;100;90;0;0;18;25;50;15;9;7;0;3;0;2;524
"Site_f10_s09";"F10";10;100;82;155;0;0;0;82;20;0;2;0;5;2;1;98
"Site_f10_s10";"F10";10;100;72;0;0;0;10;38;0;4;0;12;4;0;0;255
