"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f05_s01";"F05";5;100;76;0;0;0;40;0;30;0;21;0;0;5;3;131
"Site_f05_s02";"F05";5;100;74;0;0;0;0;10;16;16;32;3;2;6;1;151
"Site_f05_s03";"F05";5;100;76;0;0;0;0;28;41;7;18;5;0;4;0;227
"Site_f05_s04";"F05";5;100;89;63;59;278;0;15;0;23;0;0;0;0;2;200
"Site_f05_s05";"F05";5;100;86;23;0;39;0;25;0;29;17;0;0;0;7;245
"Site_f05_s06";"F05";5;100;85;82;30;33;0;16;0;35;37;4;0;6;0;234
"Site_f05_s07";"F05";5;100;90;0;64;0;33;0;28;19;0;0;4;0;0;307
"Site_f05_s08";"F05";5;100;91;77;38;62;0;24;26;12;15;2;4;6;0;100
"Site_f05_s09";"F05";5;100;89;0;0;92;71;12;12;15;17;9;5;0;4;332
"Site_f05_s10";"F05";5;100;84;14;0;0;0;45;15;12;0;0;0;0;0;172
"Site_f06_s01";"F06";6;100;61;0;0;0;0;11;19;17;0;25;0;9;0;56
"Site_f06_s02";"F06";6;100;85;30;62;0;33;20;19;24;30;0;3;0;4;138
"Site_f06_s03";"F06";6;100;87;0;34;25;40;0;43;0;23;0;0;0;0;279
"Site_f06_s04";"F06";6;100;74;71;16;0;0;13;15;2;12;4;0;2;0;107
"Site_f06_s05";"F06";6;100;71;0;0;0;0;42;16;22;0;6;9;0;4;101
"Site_f06_s06";"F06";6;100;78;0;0;0;61;52;30;33;12;0;1;0;8;178
"Site_f06_s07";"F06";6;100;88;75;54;32;0;0;24;9;24;5;5;0;0;180
"Site_f06_s08";"F06";6;100;81;78;0;0;0;26;12;0;8;0;6;6;5;300
"Site_f06_s09";"F06";6;100;79;0;0;79;47;0;9;0;8;3;8;0;6;133
"Site_f06_s10";"F06";6;100;75;0;0;0;0;11;28;24;7;6;5;2;6;154
"Site_f07_s01";"F07";7;100;86;88;0;0;0;39;5;6;0;7;3;3;0;259
"Site_f07_s02";"F07";7;100;88;108;19;0;12;59;29;9;0;1;0;0;2;206
"Site_f07_s03";"F07";7;100;85;0;31;0;0;0;7;25;40;3;18;3;0;268
"Site_f07_s04";"F07";7;100;90;94;67;48;24;12;31;16;21;9;7;0;0;188
"Site_f07_s05";"F07";7;100;84;116;0;55;36;10;9;0;10;11;0;0;0;80
"Site_f07_s06";"F07";7;100;78;0;41;27;0;28;26;0;15;4;0;0;0;179
"Site_f07_s07";"F07";7;100;96;529;79;0;0;23;3;15;8;0;3;0;3;261
"Site_f07_s08";"F07";7;100;76;0;37;36;0;20;19;5;4;12;3;0;0;131
"Site_f07_s09";"F07";7;100;83;0;0;0;42;8;29;9;4;0;0;0;0;310
"Site_f07_s10";"F07";7;100;95;0;145;202;16;31;18;11;22;21;0;3;1;284
"Site_f08_s01";"F08";8;100;87;0;89;25;35;11;29;0;11;8;12;0;2;196
"Site_f08_s02";"F08";8;100;64;0;0;0;39;0;19;10;0;6;0;0;0;62
"Site_f08_s03";"F08";8;100;85;0;0;110;0;31;12;2;18;2;1;0;1;257
"Site_f08_s04";"F08";8;100;93;0;57;65;80;36;20;40;13;8;4;0;2;268
"Site_f08_s05";"F08";8;100;77;52;59;0;28;30;19;3;1;0;12;0;2;44
"Site_f08_s06";"F08";8;100;81;97;101;0;0;25;24;9;3;3;0;0;0;167
"Site_f08_s07";"F08";8;100;69;0;0;0;19;69;35;23;11;0;4;0;0;101
"Site_f08_s08";"F08";8;100;91;105;0;0;17;59;47;16;5;15;9;0;2;493
"Site_f08_s09";"F08";8;100;91;119;56;0;23;74;8;13;29;0;8;0;0;152
"Site_f08_s10";"F08";8;100;91;0;36;24;0;90;26;2;12;0;5;4;3;262
"Site_f09_s01";"F09";9;100;92;385;0;105;0;36;20;0;12;0;0;2;0;154
"Site_f09_s02";"F09";9;100;83;0;44;0;0;38;22;0;20;0;8;0;1;193
"Site_f09_s03";"F09";9;100;81;0;99;0;0;39;13;0;6;0;1;2;2;234
"Site_f09_s04";"F09";9;100;62;0;0;0;22;0;0;5;20;12;4;0;0;92
"Site_f09_s05";"F09";9;100;73;0;86;0;12;0;0;0;12;0;2;0;1;159
"Site_f09_s06";"F09";9;100;73;61;0;36;0;0;31;6;10;24;2;0;3;135
"Site_f09_s07";"F09";9;100;66;72;0;0;0;0;12;0;6;5;5;0;2;35
"Site_f09_s08";"F09";9;100;88;148;0;2;22;30;19;0;11;6;6;0;3;139
"Site_f09_s09";"F09";9;100;90;0;137;0;17;92;23;13;16;4;6;0;3;154
"Site_f09_s10";"F09";9;100;89;139;56;0;9;82;10;17;2;11;3;0;1;140
"Site_f10_s01";"F10";10;100;78;0;47;0;19;15;6;0;4;13;5;2;0;107
"Site_f10_s02";"F10";10;100;84;0;100;0;25;33;22;9;1;17;0;1;1;124
"Site_f10_s03";"F10";10;100;95;353;55;11;32;129;39;0;15;0;0;0;4;89
"Site_f10_s04";"F10";10;100;75;98;40;0;0;34;12;0;9;0;7;0;2;47
"Site_f10_s05";"F10";10;100;80;80;0;0;0;0;10;0;10;17;5;0;4;269
"Site_f10_s06";"F10";10;100;77;0;0;0;0;0;14;0;13;0;9;0;0;370
"Site_f10_s07";"F10";10;100;78;0;0;0;30;50;0;4;14;0;3;2;2;163
"Site_f10_s08";"F10";10;100;92;301;267;0;34;224;13;15;4;0;0;0;1;193
"Site_f10_s09";"F10";10;100;81;0;135;0;21;124;22;13;24;8;0;0;0;102
"Site_f10_s10";"F10";10;100;93;0;117;0;8;111;7;0;6;0;3;0;1;352
