"SAMPLE_ID";"Formation_name";"form.nr";"Total";"num.with.colonies";"Species_01";"Species_02";"Species_03";"Species_04";"Species_05";"Species_06";"Species_07";"Species_08";"Species_09";"Species_10";"Species_11";"Species_12";"Species_Superspecies"
"Site_f08_s03";"F08";8;100;79;0;0;0;14;50;33;31;10;0;0;0;2;364
"Site_f08_s04";"F08";8;100;75;112;0;0;9;17;21;11;15;0;11;0;0;103
"Site_f08_s05";"F08";8;100;79;0;0;0;36;0;9;4;6;20;4;3;0;278
"Site_f08_s06";"F08";8;100;71;0;26;0;0;45;20;0;4;0;4;0;1;110
"Site_f08_s07";"F08";8;100;84;0;75;0;55;59;35;9;16;0;1;3;2;116
"Site_f08_s08";"F08";8;100;78;81;0;0;30;25;9;6;0;0;1;2;2;133
"Site_f08_s09";"F08";8;100;69;0;68;0;0;62;37;0;0;8;0;1;0;31
"Site_f08_s10";"F08";8;100;86;34;0;0;0;39;32;18;16;0;6;1;3;218
"Site_f09_s01";"F09";9;100;83;0;19;15;4;62;16;16;13;1;2;0;2;154
"Site_f09_s02";"F09";9;100;88;0;82;31;20;0;37;10;7;15;3;1;1;247
"Site_f09_s03";"F09";9;100;74;0;46;0;23;31;16;20;8;0;7;0;0;146
"Site_f09_s04";"F09";9;100;82;0;58;0;29;16;15;0;10;0;2;0;2;228
"Site_f09_s05";"F09";9;100;79;0;71;0;36;0;27;19;8;5;1;0;2;155
"Site_f09_s06";"F09";9;100;86;37;69;0;0;0;25;0;6;0;9;0;1;248
"Site_f09_s07";"F09";9;100;78;75;45;0;9;0;22;11;5;1;0;0;0;164
"Site_f09_s08";"F09";9;100;86;42;50;0;0;36;47;9;9;0;5;0;1;186
"Site_f09_s09";"F09";9;100;92;279;67;0;13;44;0;7;4;0;4;0;0;158
"Site_f09_s10";"F09";9;100;79;0;61;0;32;17;22;6;10;9;0;0;0;155
"Site_f10_s01";"F10";10;100;92;223;23;0;29;0;48;0;3;19;2;0;1;121
"Site_f10_s02";"F10";10;100;93;152;156;0;13;63;12;0;5;0;2;0;0;289
"Site_f10_s03";"F10";10;100;93;128;7;0;38;103;24;15;7;10;1;0;0;274
"Site_f10_s04";"F10";10;100;83;0;70;13;55;27;15;0;3;18;4;2;0;120
"Site_f10_s05";"F10";10;100;89;0;88;0;7;0;84;4;10;22;12;1;1;191
"Site_f10_s06";"F10";10;100;93;0;187;0;0;118;11;0;6;23;6;0;3;240
"Site_f10_s07";"F10";10;100;90;136;26;31;0;42;15;5;4;8;1;0;0;279
"Site_f10_s08";"F10";10;100;64;0;0;0;22;24;21;0;6;0;2;3;1;90
"Site_f10_s09";"F10";10;100;88;144;60;0;19;60;47;0;3;0;4;1;2;114
"Site_f10_s10";"F10";10;100;85;0;95;0;8;47;82;12;5;26;7;0;3;242
